id,name,full_name,url,stars,forks
127988011,mall,macrozheng/mall,https://github.com/macrozheng/mall,81774,29483
32689863,manim,3b1b/manim,https://github.com/3b1b/manim,81079,6890
357728969,bun,oven-sh/bun,https://github.com/oven-sh/bun,80799,3365
888092115,markitdown,microsoft/markitdown,https://github.com/microsoft/markitdown,80699,4472
455229168,immich,immich-app/immich,https://github.com/immich-app/immich,80698,4234
26500787,FiraCode,tonsky/FiraCode,https://github.com/tonsky/FiraCode,80255,3175
212639071,devops-exercises,bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,79275,17919
6296790,spring-boot,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,78632,41553
968197216,gemini-cli,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,78468,8510
44882201,awesome-for-beginners,MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,78452,7489
151834062,advanced-java,doocs/advanced-java,https://github.com/doocs/advanced-java,78334,19265
221981891,playwright,microsoft/playwright,https://github.com/microsoft/playwright,77984,4667
343965132,ML-For-Beginners,microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,77942,17815
51117837,models,tensorflow/models,https://github.com/tensorflow/models,77640,45459
47018239,awesome-interview-questions,DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,77627,9184
693342566,system-design-101,ByteByteGoHq/system-design-101,https://github.com/ByteByteGoHq/system-design-101,77336,8366
721767116,clash-verge-rev,clash-verge-rev/clash-verge-rev,https://github.com/clash-verge-rev/clash-verge-rev,77166,5782
619959033,gpt4all,nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all,76769,8289
14712850,syncthing,syncthing/syncthing,https://github.com/syncthing/syncthing,76670,4794
152870372,weekly,ruanyf/weekly,https://github.com/ruanyf/weekly,76662,3646
160640094,LeetCodeAnimation,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,76475,14020
145553672,funNLP,fighting41love/funNLP,https://github.com/fighting41love/funNLP,76457,15018
278335273,github-readme-stats,anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,76388,26521
10744183,netdata,netdata/netdata,https://github.com/netdata/netdata,76333,6195
382496361,uptime-kuma,louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,75816,6727
3470471,Font-Awesome,FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome,75703,12216
257485422,vite,vitejs/vite,https://github.com/vitejs/vite,75679,7314
14747598,json-server,typicode/json-server,https://github.com/typicode/json-server,75168,7234
